,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
41,2020-02-11,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,45,,,45,,34.0522,-118.2437,Los_Angeles,2020-03-23
42,2020-02-12,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,52,,34.0522,-118.2437,Los_Angeles,2020-03-23
43,2020-02-13,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,46,,,62,,34.0522,-118.2437,Los_Angeles,2020-03-23
44,2020-02-14,64,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,,49,,,64,,34.0522,-118.2437,Los_Angeles,2020-03-23
45,2020-02-15,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,61,,,67,,34.0522,-118.2437,Los_Angeles,2020-03-23
46,2020-02-16,80,Ozone,Pomona,06-037-1701,AirNow,,80,,,64,,34.0522,-118.2437,Los_Angeles,2020-03-23
47,2020-02-17,71,Ozone,Pasadena,06-037-2005,AirNow,,71,,,70,,34.0522,-118.2437,Los_Angeles,2020-03-23
48,2020-02-18,72,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,,45,,,72,,34.0522,-118.2437,Los_Angeles,2020-03-23
49,2020-02-19,80,PM2.5,Glendora,06-037-0016,AirNow,,50,,,80,,34.0522,-118.2437,Los_Angeles,2020-03-23
50,2020-02-20,78,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,49,,,78,,34.0522,-118.2437,Los_Angeles,2020-03-23
51,2020-02-21,70,PM2.5,Long Beach (South),06-037-4004,AirNow,,58,,,70,,34.0522,-118.2437,Los_Angeles,2020-03-23
52,2020-02-22,42,Ozone,Pasadena,06-037-2005,AirNow,,42,,,34,,34.0522,-118.2437,Los_Angeles,2020-03-23
53,2020-02-23,53,PM2.5,Glendora,06-037-0016,AirNow,,47,,,53,,34.0522,-118.2437,Los_Angeles,2020-03-23
54,2020-02-24,59,PM2.5,Glendora,06-037-0016,AirNow,,44,,,59,,34.0522,-118.2437,Los_Angeles,2020-03-23
55,2020-02-25,61,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,46,,,61,,34.0522,-118.2437,Los_Angeles,2020-03-23
56,2020-02-26,51,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,43,,,51,,34.0522,-118.2437,Los_Angeles,2020-03-23
57,2020-02-27,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,43,,,57,,34.0522,-118.2437,Los_Angeles,2020-03-23
58,2020-02-28,46,PM2.5,Long Beach (South),06-037-4004,AirNow,,45,,,46,,34.0522,-118.2437,Los_Angeles,2020-03-23
59,2020-02-29,51,Ozone,Pasadena,06-037-2005,AirNow,,51,,,47,,34.0522,-118.2437,Los_Angeles,2020-03-23
60,2020-03-01,46,PM2.5,Glendora,06-037-0016,AirNow,,46,,,46,,34.0522,-118.2437,Los_Angeles,2020-03-23
61,2020-03-02,45,Ozone,Pasadena,06-037-2005,AirNow,,45,,,35,,34.0522,-118.2437,Los_Angeles,2020-03-23
62,2020-03-03,44,Ozone,Pasadena,06-037-2005,AirNow,,44,,,39,,34.0522,-118.2437,Los_Angeles,2020-03-23
63,2020-03-04,59,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,,44,,,59,,34.0522,-118.2437,Los_Angeles,2020-03-23
64,2020-03-05,72,PM2.5,Long Beach (South),06-037-4004,AirNow,,61,,,72,,34.0522,-118.2437,Los_Angeles,2020-03-23
