,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
44,2020-02-14,34,PM2.5,Intermediate School 143,36-061-0115,AQS,5,34,3,.,34,15,40.7128,-74.006,New_York,2020-03-23
45,2020-02-15,40,PM2.5,NEWBURGH,36-071-0002,AQS,5,33,1,8,40,26,40.7128,-74.006,New_York,2020-03-23
46,2020-02-16,52,PM2.5,IS 52,36-005-0110,AQS,9,32,3,.,52,39,40.7128,-74.006,New_York,2020-03-23
47,2020-02-17,56,PM2.5,Newark Firehouse,34-013-0003,AirNow,13,38,3,.,56,28,40.7128,-74.006,New_York,2020-03-23
48,2020-02-18,53,PM2.5,Newark Firehouse,34-013-0003,AirNow,7,35,7,.,53,22,40.7128,-74.006,New_York,2020-03-23
49,2020-02-19,39,Ozone,Chester,34-027-3001,AirNow,7,39,3,.,35,27,40.7128,-74.006,New_York,2020-03-23
50,2020-02-20,38,Ozone,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,3,38,3,.,28,11,40.7128,-74.006,New_York,2020-03-23
51,2020-02-21,39,Ozone,MT NINHAM,36-079-0005,AQS,7,39,1,6,25,25,40.7128,-74.006,New_York,2020-03-23
52,2020-02-22,45,PM2.5,Flemington,34-019-0001,AirNow,8,40,3,.,45,40,40.7128,-74.006,New_York,2020-03-23
53,2020-02-23,54,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,10,44,4,.,54,51,40.7128,-74.006,New_York,2020-03-23
54,2020-02-24,74,PM2.5,QUEENS COLLEGE 2,36-081-0124,AQS,11,44,6,.,74,60,40.7128,-74.006,New_York,2020-03-23
55,2020-02-25,62,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,9,32,3,.,62,44,40.7128,-74.006,New_York,2020-03-23
56,2020-02-26,54,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,5,40,0,.,54,17,40.7128,-74.006,New_York,2020-03-23
57,2020-02-27,39,Ozone,MILLBROOK,36-027-0007,AQS,3,39,0,5,20,10,40.7128,-74.006,New_York,2020-03-23
58,2020-02-28,39,Ozone,MT NINHAM,36-079-0005,AQS,3,39,1,.,36,22,40.7128,-74.006,New_York,2020-03-23
59,2020-02-29,36,Ozone,MILLBROOK,36-027-0007,AQS,3,36,1,.,30,13,40.7128,-74.006,New_York,2020-03-23
60,2020-03-01,41,Ozone,Chester,34-027-3001,AirNow,3,41,.,.,30,.,40.7128,-74.006,New_York,2020-03-23
61,2020-03-02,60,PM2.5,Newark Firehouse,34-013-0003,AirNow,.,45,.,.,60,.,40.7128,-74.006,New_York,2020-03-23
62,2020-03-03,56,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,39,.,.,56,.,40.7128,-74.006,New_York,2020-03-23
63,2020-03-04,39,Ozone,Chester,34-027-3001,AirNow,.,39,.,.,23,.,40.7128,-74.006,New_York,2020-03-23
64,2020-03-05,37,Ozone,MILLBROOK,36-027-0007,AirNow,.,37,.,.,34,.,40.7128,-74.006,New_York,2020-03-23
65,2020-03-06,46,PM2.5,Flemington,34-019-0001,AirNow,.,40,.,.,46,.,40.7128,-74.006,New_York,2020-03-23
66,2020-03-07,40,Ozone,Chester,34-027-3001,AirNow,.,40,.,.,23,.,40.7128,-74.006,New_York,2020-03-23
67,2020-03-08,41,Ozone,MILLBROOK,36-027-0007,AirNow,.,41,.,.,29,.,40.7128,-74.006,New_York,2020-03-23
68,2020-03-09,50,PM2.5,Queens College Near Road,36-081-0125,AirNow,.,48,.,.,50,.,40.7128,-74.006,New_York,2020-03-23
69,2020-03-10,64,Ozone,Leonia,34-003-0006,AirNow,.,64,.,.,47,.,40.7128,-74.006,New_York,2020-03-23
70,2020-03-11,74,Ozone,Leonia,34-003-0006,AirNow,.,74,.,.,30,.,40.7128,-74.006,New_York,2020-03-23
71,2020-03-12,52,PM2.5,Elizabeth Lab,34-039-0004,AirNow,.,36,.,.,52,.,40.7128,-74.006,New_York,2020-03-23
72,2020-03-13,46,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,42,.,.,46,.,40.7128,-74.006,New_York,2020-03-23
73,2020-03-14,39,Ozone,Colliers Mills,34-029-0006,AirNow,.,39,.,.,20,.,40.7128,-74.006,New_York,2020-03-23
74,2020-03-15,41,Ozone,MILLBROOK,36-027-0007,AirNow,.,41,.,.,23,.,40.7128,-74.006,New_York,2020-03-23
75,2020-03-16,40,Ozone,Chester,34-027-3001,AirNow,.,40,.,.,25,.,40.7128,-74.006,New_York,2020-03-23
76,2020-03-17,39,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,36,.,.,39,.,40.7128,-74.006,New_York,2020-03-23
77,2020-03-18,42,Ozone,Monmouth University,34-025-0005,AirNow,.,42,.,.,33,.,40.7128,-74.006,New_York,2020-03-23
78,2020-03-19,40,PM2.5,Elizabeth Lab,34-039-0004,AirNow,.,36,.,.,40,.,40.7128,-74.006,New_York,2020-03-23
79,2020-03-20,61,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,.,38,.,.,61,.,40.7128,-74.006,New_York,2020-03-23
80,2020-03-21,41,Ozone,Leonia,34-003-0006,AirNow,.,41,.,.,28,.,40.7128,-74.006,New_York,2020-03-23
81,2020-03-22,41,Ozone,MT NINHAM,36-079-0005,AirNow,.,41,.,.,28,.,40.7128,-74.006,New_York,2020-03-23
82,2020-03-23,38,Ozone,RIVERHEAD,36-103-0004,AirNow,.,38,.,.,21,.,40.7128,-74.006,New_York,2020-03-23
83,2020-03-24,39,Ozone,BABYLON,36-103-0002,AirNow,.,39,.,.,25,.,40.7128,-74.006,New_York,2020-03-23
84,2020-03-25,39,Ozone,RIVERHEAD,36-103-0004,AirNow,.,39,.,.,32,.,40.7128,-74.006,New_York,2020-03-23
85,2020-03-26,44,Ozone,MT NINHAM,36-079-0005,AirNow,.,44,.,.,34,.,40.7128,-74.006,New_York,2020-03-23
86,2020-03-27,44,Ozone,Monmouth University,34-025-0005,AirNow,.,44,.,.,30,.,40.7128,-74.006,New_York,2020-03-23
87,2020-03-28,42,Ozone,RIVERHEAD,36-103-0004,AirNow,.,42,.,.,39,.,40.7128,-74.006,New_York,2020-03-23
88,2020-03-29,42,Ozone,RIVERHEAD,36-103-0004,AirNow,.,42,.,.,23,.,40.7128,-74.006,New_York,2020-03-23
89,2020-03-30,43,PM2.5,Newark Firehouse,34-013-0003,AirNow,.,37,.,.,43,.,40.7128,-74.006,New_York,2020-03-23
90,2020-03-31,41,Ozone,RIVERHEAD,36-103-0004,AirNow,.,41,.,.,23,.,40.7128,-74.006,New_York,2020-03-23
91,2020-04-01,43,Ozone,MILLBROOK,36-027-0007,AirNow,.,43,.,.,27,.,40.7128,-74.006,New_York,2020-03-23
92,2020-04-02,41,Ozone,Flemington,34-019-0001,AirNow,.,41,.,.,13,.,40.7128,-74.006,New_York,2020-03-23
93,2020-04-03,36,Ozone,RIVERHEAD,36-103-0004,AirNow,.,36,.,.,13,.,40.7128,-74.006,New_York,2020-03-23
94,2020-04-04,40,Ozone,BABYLON,36-103-0002,AirNow,.,40,.,.,19,.,40.7128,-74.006,New_York,2020-03-23
95,2020-04-05,52,PM2.5,Jersey City Firehouse,34-017-1003,AirNow,.,41,.,.,52,.,40.7128,-74.006,New_York,2020-03-23
96,2020-04-06,43,Ozone,Chester,34-027-3001,AirNow,.,43,.,.,35,.,40.7128,-74.006,New_York,2020-03-23
97,2020-04-07,50,Ozone,Chester,34-027-3001,AirNow,.,50,.,.,35,.,40.7128,-74.006,New_York,2020-03-23
98,2020-04-08,46,PM2.5,Elizabeth Lab,34-039-0004,AirNow,.,44,.,.,46,.,40.7128,-74.006,New_York,2020-03-23
99,2020-04-09,43,Ozone,Chester,34-027-3001,AirNow,.,43,.,.,31,.,40.7128,-74.006,New_York,2020-03-23
100,2020-04-10,38,Ozone,RIVERHEAD,36-103-0004,AirNow,.,38,.,.,17,.,40.7128,-74.006,New_York,2020-03-23
101,2019-01-01,45,PM2.5,MASPETH LIBRARY,36-081-0120,AQS,6,30,0,.,45,38,40.7128,-74.006,New_York,2020-03-23
102,2019-01-02,64,PM2.5,PS 19,36-061-0128,AQS,7,29,6,.,64,32,40.7128,-74.006,New_York,2020-03-23
103,2019-01-03,54,PM2.5,PS 19,36-061-0128,AQS,6,26,3,11,54,37,40.7128,-74.006,New_York,2020-03-23
104,2019-01-04,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,20,6,.,60,34,40.7128,-74.006,New_York,2020-03-23
105,2019-01-05,50,PM2.5,DIVISION STREET,36-061-0134,AQS,9,26,33,.,50,31,40.7128,-74.006,New_York,2020-03-23
106,2019-01-06,51,PM2.5,DIVISION STREET,36-061-0134,AQS,7,33,1,6,51,23,40.7128,-74.006,New_York,2020-03-23
107,2019-01-07,44,NO2,Newark Firehouse,34-013-0003,AQS,7,33,1,.,36,44,40.7128,-74.006,New_York,2020-03-23
