,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
414,2019-11-10,58,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,33,0,.,58,17.0,47.6062,-122.3321,Seattle,2020-03-23,744955
415,2019-11-11,57,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,9,45,1,12,57,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
416,2019-11-12,55,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,8,41,1,.,55,29.0,47.6062,-122.3321,Seattle,2020-03-23,744955
417,2019-11-13,61,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,5,9,0,.,61,18.0,47.6062,-122.3321,Seattle,2020-03-23,744955
418,2019-11-14,72,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,9,41,3,16,72,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
419,2019-11-15,43,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,38,0,.,43,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
420,2019-11-16,48,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,7,42,0,.,48,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
421,2019-11-17,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,44,0,7,36,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
422,2019-11-18,45,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,44,1,.,45,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
423,2019-11-19,37,NO2,Seattle-10th & Weller,53-033-0030,AQS,5,19,0,.,36,37.0,47.6062,-122.3321,Seattle,2020-03-23,744955
424,2019-11-20,55,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,11,0,8,55,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
425,2019-11-21,81,PM2.5,TACOMA - L STREET,53-053-0029,AQS,11,2,4,.,81,29.0,47.6062,-122.3321,Seattle,2020-03-23,744955
426,2019-11-22,89,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,13,42,3,.,89,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
427,2019-11-23,66,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,10,43,1,14,66,19.0,47.6062,-122.3321,Seattle,2020-03-23,744955
428,2019-11-24,45,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,38,0,.,45,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
429,2019-11-25,38,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,38,0,.,33,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
