,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,state_ordinance,population,lat,lon,city_name
41,2020-02-11,37,PM2.5,Chalmette Vista,22-087-0007,AQS,5,28,1,16,37,16,2020-03-23,391006,29.9511,-90.0715,New_Orleans
42,2020-02-12,34,PM2.5,Chalmette Vista,22-087-0007,AQS,3,26,1,14,34,23,2020-03-23,391006,29.9511,-90.0715,New_Orleans
43,2020-02-13,26,Ozone,Meraux,22-087-0004,AQS,5,26,1,4,9,6,2020-03-23,391006,29.9511,-90.0715,New_Orleans
44,2020-02-14,69,SO2,Norco,22-089-0006,AQS,5,34,69,8,25,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
45,2020-02-15,75,SO2,Norco,22-089-0006,AQS,6,42,75,12,35,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
46,2020-02-16,37,Ozone,Madisonville,22-103-0002,AQS,5,37,33,6,22,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
47,2020-02-17,43,PM2.5,Chalmette Vista,22-087-0007,AQS,6,31,4,12,43,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
48,2020-02-18,40,PM2.5,Chalmette Vista,22-087-0007,AQS,7,20,31,15,40,19,2020-03-23,391006,29.9511,-90.0715,New_Orleans
49,2020-02-19,29,Ozone,Meraux,22-087-0004,AQS,7,29,9,7,12,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
50,2020-02-20,31,Ozone,Kenner,22-051-1001,AQS,6,31,27,4,11,11,2020-03-23,391006,29.9511,-90.0715,New_Orleans
51,2020-02-21,39,PM2.5,Chalmette Vista,22-087-0007,AQS,7,37,1,10,39,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
52,2020-02-22,41,Ozone,Madisonville,22-103-0002,AQS,5,41,39,12,40,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
53,2020-02-23,45,Ozone,Madisonville,22-103-0002,AQS,6,45,1,11,42,33,2020-03-23,391006,29.9511,-90.0715,New_Orleans
54,2020-02-24,52,PM2.5,Chalmette Vista,22-087-0007,AirNow,3,37,7,17,52,28,2020-03-23,391006,29.9511,-90.0715,New_Orleans
55,2020-02-25,31,Ozone,Garyville,22-095-0002,AQS,2,31,1,12,27,26,2020-03-23,391006,29.9511,-90.0715,New_Orleans
56,2020-02-26,34,Ozone,Meraux,22-087-0004,AQS,2,34,1,10,31,8,2020-03-23,391006,29.9511,-90.0715,New_Orleans
57,2020-02-27,39,Ozone,Kenner,22-051-1001,AQS,3,39,4,10,37,20,2020-03-23,391006,29.9511,-90.0715,New_Orleans
58,2020-02-28,56,PM2.5,Chalmette Vista,22-087-0007,AirNow,6,51,6,22,56,41,2020-03-23,391006,29.9511,-90.0715,New_Orleans
59,2020-02-29,55,PM2.5,Chalmette Vista,22-087-0007,AirNow,7,51,13,20,55,46,2020-03-23,391006,29.9511,-90.0715,New_Orleans
60,2020-03-01,54,PM2.5,Chalmette Vista,22-087-0007,AirNow,3,47,.,.,54,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
61,2020-03-02,54,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,42,.,.,54,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
62,2020-03-03,51,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,39,.,.,51,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
63,2020-03-04,36,Ozone,Kenner,22-051-1001,AirNow,.,36,.,.,33,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
64,2020-03-05,39,Ozone,Kenner,22-051-1001,AirNow,.,39,.,.,13,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
65,2020-03-06,41,Ozone,Kenner,22-051-1001,AirNow,.,41,.,.,30,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
66,2020-03-07,42,Ozone,Kenner,22-051-1001,AirNow,.,42,.,.,34,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
67,2020-03-08,63,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,44,.,.,63,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
68,2020-03-09,43,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,42,.,.,43,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
69,2020-03-10,39,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,32,.,.,39,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
70,2020-03-11,41,Ozone,Madisonville,22-103-0002,AirNow,.,41,.,.,36,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
71,2020-03-12,46,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,41,.,.,46,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
72,2020-03-13,36,Ozone,Madisonville,22-103-0002,AirNow,.,36,.,.,20,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
73,2020-03-14,44,Ozone,Madisonville,22-103-0002,AirNow,.,44,.,.,28,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
74,2020-03-15,45,Ozone,Convent,22-093-0002,AirNow,.,45,.,.,30,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
75,2020-03-16,37,Ozone,Madisonville,22-103-0002,AirNow,.,37,.,.,29,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
76,2020-03-17,33,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,32,.,.,33,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
77,2020-03-18,28,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,26,.,.,28,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
78,2020-03-19,34,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,30,.,.,34,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
79,2020-03-20,33,Ozone,Madisonville,22-103-0002,AirNow,.,33,.,.,30,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
80,2020-03-21,31,Ozone,Meraux,22-087-0004,AirNow,.,31,.,.,15,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
81,2020-03-22,32,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,29,.,.,32,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
82,2020-03-23,33,Ozone,Madisonville,22-103-0002,AirNow,.,33,.,.,30,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
83,2020-03-24,40,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,35,.,.,40,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
84,2020-03-25,67,Ozone,Kenner,22-051-1001,AirNow,.,67,.,.,49,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
85,2020-03-26,61,Ozone,Madisonville,22-103-0002,AirNow,.,61,.,.,55,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
86,2020-03-27,41,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,37,.,.,41,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
87,2020-03-28,72,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,41,.,.,72,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
88,2020-03-29,44,Ozone,Kenner,22-051-1001,AirNow,.,44,.,.,35,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
89,2020-03-30,42,Ozone,Kenner,22-051-1001,AirNow,.,42,.,.,31,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
90,2020-03-31,43,Ozone,Kenner,22-051-1001,AirNow,.,43,.,.,30,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
91,2020-04-01,48,Ozone,Meraux,22-087-0004,AirNow,.,48,.,.,33,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
92,2020-04-02,47,Ozone,Garyville,22-095-0002,AirNow,.,47,.,.,38,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
93,2020-04-03,64,Ozone,Madisonville,22-103-0002,AirNow,.,64,.,.,36,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
94,2020-04-04,51,Ozone,Kenner,22-051-1001,AirNow,.,51,.,.,48,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
95,2020-04-05,48,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,44,.,.,48,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
96,2020-04-06,46,Ozone,Meraux,22-087-0004,AirNow,.,46,.,.,42,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
97,2020-04-07,31,Ozone,Madisonville,22-103-0002,AirNow,.,31,.,.,26,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
98,2020-04-08,46,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,29,.,.,46,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
99,2020-04-09,59,PM2.5,Chalmette Vista,22-087-0007,AirNow,.,45,.,.,59,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
100,2020-04-10,44,Ozone,Kenner,22-051-1001,AirNow,.,44,.,.,25,.,2020-03-23,391006,29.9511,-90.0715,New_Orleans
101,2019-01-01,68,PM2.5,Chalmette Vista,22-087-0007,AQS,3,17,4,25,68,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
102,2019-01-02,39,SO2,Norco,22-089-0006,AQS,6,17,39,10,33,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
103,2019-01-03,43,SO2,Norco,22-089-0006,AQS,5,19,43,6,13,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
104,2019-01-04,31,Ozone,Kenner,22-051-1001,AQS,6,31,6,11,21,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
105,2019-01-05,45,PM2.5,Chalmette Vista,22-087-0007,AQS,8,34,6,14,45,34,2020-03-23,391006,29.9511,-90.0715,New_Orleans
106,2019-01-06,62,PM2.5,Chalmette Vista,22-087-0007,AQS,10,44,24,20,62,39,2020-03-23,391006,29.9511,-90.0715,New_Orleans
107,2019-01-07,48,PM2.5,Chalmette Vista,22-087-0007,AQS,9,32,34,16,48,34,2020-03-23,391006,29.9511,-90.0715,New_Orleans
108,2019-01-08,50,PM2.5,Chalmette Vista,22-087-0007,AQS,7,32,4,19,50,37,2020-03-23,391006,29.9511,-90.0715,New_Orleans
109,2019-01-09,37,Ozone,Kenner,22-051-1001,AQS,7,37,3,7,18,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
110,2019-01-10,35,Ozone,Kenner,22-051-1001,AQS,7,35,3,12,29,8,2020-03-23,391006,29.9511,-90.0715,New_Orleans
111,2019-01-11,71,SO2,Norco,22-089-0006,AQS,8,36,71,14,44,20,2020-03-23,391006,29.9511,-90.0715,New_Orleans
112,2019-01-12,43,PM2.5,Chalmette Vista,22-087-0007,AQS,3,30,24,11,43,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
113,2019-01-13,23,Ozone,Kenner,22-051-1001,AQS,2,23,4,6,20,7,2020-03-23,391006,29.9511,-90.0715,New_Orleans
114,2019-01-14,43,PM2.5,Chalmette Vista,22-087-0007,AQS,3,26,3,12,43,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
115,2019-01-15,43,PM2.5,Chalmette Vista,22-087-0007,AQS,6,27,4,13,43,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
116,2019-01-16,55,PM2.5,Chalmette Vista,22-087-0007,AQS,6,31,4,16,55,30,2020-03-23,391006,29.9511,-90.0715,New_Orleans
117,2019-01-17,57,PM2.5,Chalmette Vista,22-087-0007,AQS,6,27,29,14,57,34,2020-03-23,391006,29.9511,-90.0715,New_Orleans
118,2019-01-18,32,PM2.5,Kenner,22-051-1001,AQS,2,32,10,8,32,22,2020-03-23,391006,29.9511,-90.0715,New_Orleans
119,2019-01-19,31,SO2,Chalmette Vista,22-087-0007,AQS,2,31,31,12,21,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
120,2019-01-20,35,Ozone,Kenner,22-051-1001,AQS,3,35,3,10,31,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
121,2019-01-21,52,SO2,Norco,22-089-0006,AQS,5,39,52,9,30,12,2020-03-23,391006,29.9511,-90.0715,New_Orleans
122,2019-01-22,52,PM2.5,Chalmette Vista,22-087-0007,AQS,5,40,3,18,52,29,2020-03-23,391006,29.9511,-90.0715,New_Orleans
123,2019-01-23,34,Ozone,Meraux,22-087-0004,AQS,3,34,27,9,24,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
124,2019-01-24,32,Ozone,Kenner,22-051-1001,AQS,5,32,1,11,31,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
125,2019-01-25,38,NO2,Kenner,22-051-1001,AQS,7,37,31,12,35,38,2020-03-23,391006,29.9511,-90.0715,New_Orleans
126,2019-01-26,50,PM2.5,New Orleans / City Park,22-071-0012,AirNow,11,40,11,16,50,37,2020-03-23,391006,29.9511,-90.0715,New_Orleans
127,2019-01-27,47,PM2.5,Chalmette Vista,22-087-0007,AQS,7,38,7,15,47,40,2020-03-23,391006,29.9511,-90.0715,New_Orleans
128,2019-01-28,47,PM2.5,Chalmette Vista,22-087-0007,AQS,7,45,27,17,47,35,2020-03-23,391006,29.9511,-90.0715,New_Orleans
129,2019-01-29,36,Ozone,Meraux,22-087-0004,AQS,3,36,1,4,15,17,2020-03-23,391006,29.9511,-90.0715,New_Orleans
130,2019-01-30,37,Ozone,Meraux,22-087-0004,AQS,6,37,19,6,26,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
131,2019-01-31,47,SO2,Norco,22-089-0006,AQS,6,40,47,16,30,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
132,2019-02-01,59,SO2,Norco,22-089-0006,AQS,5,35,59,19,50,11,2020-03-23,391006,29.9511,-90.0715,New_Orleans
133,2019-02-02,55,PM2.5,Chalmette Vista,22-087-0007,AQS,6,31,46,15,55,16,2020-03-23,391006,29.9511,-90.0715,New_Orleans
134,2019-02-03,40,PM2.5,Chalmette Vista,22-087-0007,AQS,5,29,17,9,40,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
135,2019-02-04,27,Ozone,Madisonville,22-103-0002,AQS,6,27,10,6,23,22,2020-03-23,391006,29.9511,-90.0715,New_Orleans
136,2019-02-05,33,PM2.5,Chalmette Vista,22-087-0007,AQS,6,20,29,10,33,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
137,2019-02-06,40,SO2,Chalmette Vista,22-087-0007,AQS,5,25,40,14,32,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
138,2019-02-07,34,PM2.5,Chalmette Vista,22-087-0007,AQS,5,31,30,14,34,19,2020-03-23,391006,29.9511,-90.0715,New_Orleans
139,2019-02-08,31,Ozone,Kenner,22-051-1001,AQS,6,31,1,6,17,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
140,2019-02-09,35,PM2.5,Chalmette Vista,22-087-0007,AQS,7,34,26,11,35,10,2020-03-23,391006,29.9511,-90.0715,New_Orleans
141,2019-02-10,54,PM2.5,Chalmette Vista,22-087-0007,AQS,7,31,41,17,54,9,2020-03-23,391006,29.9511,-90.0715,New_Orleans
142,2019-02-11,37,SO2,Chalmette Vista,22-087-0007,AQS,6,30,37,6,27,17,2020-03-23,391006,29.9511,-90.0715,New_Orleans
143,2019-02-12,34,Ozone,Kenner,22-051-1001,AQS,6,34,7,11,19,18,2020-03-23,391006,29.9511,-90.0715,New_Orleans
144,2019-02-13,39,Ozone,Meraux,22-087-0004,AQS,.,39,6,20,31,39,2020-03-23,391006,29.9511,-90.0715,New_Orleans
145,2019-02-14,50,SO2,Chalmette Vista,22-087-0007,AQS,.,43,50,17,40,33,2020-03-23,391006,29.9511,-90.0715,New_Orleans
146,2019-02-15,39,PM2.5,Chalmette Vista,22-087-0007,AQS,.,36,13,22,39,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
147,2019-02-16,38,PM2.5,Chalmette Vista,22-087-0007,AQS,.,34,11,15,38,17,2020-03-23,391006,29.9511,-90.0715,New_Orleans
148,2019-02-17,43,SO2,Chalmette Vista,22-087-0007,AQS,.,34,43,21,35,12,2020-03-23,391006,29.9511,-90.0715,New_Orleans
149,2019-02-18,31,Ozone,Kenner,22-051-1001,AQS,.,31,10,8,21,8,2020-03-23,391006,29.9511,-90.0715,New_Orleans
150,2019-02-19,50,PM2.5,Chalmette Vista,22-087-0007,AQS,.,32,39,13,50,17,2020-03-23,391006,29.9511,-90.0715,New_Orleans
151,2019-02-20,43,PM2.5,I-610,22-071-0021,AQS,.,18,40,18,43,12,2020-03-23,391006,29.9511,-90.0715,New_Orleans
152,2019-02-21,43,PM2.5,Chalmette Vista,22-087-0007,AQS,.,23,33,16,43,9,2020-03-23,391006,29.9511,-90.0715,New_Orleans
153,2019-02-22,40,PM2.5,Chalmette Vista,22-087-0007,AQS,.,28,13,18,40,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
154,2019-02-23,40,PM2.5,Chalmette Vista,22-087-0007,AQS,.,33,34,19,40,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
155,2019-02-24,41,Ozone,Meraux,22-087-0004,AQS,.,41,4,13,15,4,2020-03-23,391006,29.9511,-90.0715,New_Orleans
156,2019-02-25,44,Ozone,Meraux,22-087-0004,AQS,3,44,27,8,17,17,2020-03-23,391006,29.9511,-90.0715,New_Orleans
157,2019-02-26,55,PM2.5,New Orleans / City Park,22-071-0012,AQS,3,37,13,20,55,22,2020-03-23,391006,29.9511,-90.0715,New_Orleans
158,2019-02-27,87,SO2,Chalmette Vista,22-087-0007,AQS,5,36,87,7,13,26,2020-03-23,391006,29.9511,-90.0715,New_Orleans
159,2019-02-28,24,Ozone,Madisonville,22-103-0002,AQS,5,24,9,9,15,21,2020-03-23,391006,29.9511,-90.0715,New_Orleans
160,2019-03-01,54,PM2.5,Chalmette Vista,22-087-0007,AQS,8,22,6,11,54,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
161,2019-03-02,58,PM2.5,Chalmette Vista,22-087-0007,AQS,8,29,4,13,58,23,2020-03-23,391006,29.9511,-90.0715,New_Orleans
162,2019-03-03,34,PM2.5,Chalmette Vista,22-087-0007,AQS,5,29,6,8,34,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
163,2019-03-04,55,PM2.5,Chalmette Vista,22-087-0007,AQS,2,37,3,9,55,2,2020-03-23,391006,29.9511,-90.0715,New_Orleans
164,2019-03-05,48,PM2.5,Chalmette Vista,22-087-0007,AQS,2,43,3,6,48,2,2020-03-23,391006,29.9511,-90.0715,New_Orleans
165,2019-03-06,53,PM2.5,Chalmette Vista,22-087-0007,AQS,.,47,16,8,53,37,2020-03-23,391006,29.9511,-90.0715,New_Orleans
166,2019-03-07,60,PM2.5,Chalmette Vista,22-087-0007,AQS,.,54,19,15,60,37,2020-03-23,391006,29.9511,-90.0715,New_Orleans
167,2019-03-08,53,PM2.5,Chalmette Vista,22-087-0007,AQS,.,41,30,15,53,32,2020-03-23,391006,29.9511,-90.0715,New_Orleans
