,date,Overall_AQI_Value,main_pollutant,site_name,Lat ,Lon,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
38,2020-02-08,31,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,31,,43.615,-116.2023,Boise,2020-03-25
39,2020-02-09,43,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,27,,,43,,43.615,-116.2023,Boise,2020-03-25
40,2020-02-10,39,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,29,,,39,,43.615,-116.2023,Boise,2020-03-25
41,2020-02-11,39,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,27,,,39,,43.615,-116.2023,Boise,2020-03-25
42,2020-02-12,50,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,50,,43.615,-116.2023,Boise,2020-03-25
43,2020-02-13,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,36,,43.615,-116.2023,Boise,2020-03-25
44,2020-02-14,35,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,35,,43.615,-116.2023,Boise,2020-03-25
45,2020-02-15,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,25,,,36,,43.615,-116.2023,Boise,2020-03-25
46,2020-02-16,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,29,,,55,,43.615,-116.2023,Boise,2020-03-25
47,2020-02-17,48,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,30,,,48,,43.615,-116.2023,Boise,2020-03-25
48,2020-02-18,44,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,.,,,44,,43.615,-116.2023,Boise,2020-03-25
49,2020-02-19,39,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,.,,,39,,43.615,-116.2023,Boise,2020-03-25
50,2020-02-20,43,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,32,,,43,,43.615,-116.2023,Boise,2020-03-25
51,2020-02-21,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,31,,,40,,43.615,-116.2023,Boise,2020-03-25
