Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
05/28/2019,53,PM2.5,Portland,41-067-0005,AQS,3,30,0,.,53,15
05/29/2019,41,PM2.5,Portland,41-005-0004,AQS,2,39,0,.,41,7
05/30/2019,37,Ozone,Portland,41-005-0004,AQS,2,37,0,9,35,7
05/31/2019,37,Ozone,Portland,41-005-0004,AQS,3,37,0,.,33,10
6/1/2019,35,Ozone,Portland,41-005-0004,AQS,3,35,0,.,22,10
6/2/2019,40,Ozone,Portland,41-005-0004,AQS,2,40,0,11,26,12
6/3/2019,41,Ozone,Portland,41-005-0004,AQS,2,41,0,.,20,11
6/4/2019,43,Ozone,Portland,41-005-0004,AQS,3,43,0,.,20,19
6/5/2019,30,Ozone,Portland,41-005-0004,AQS,2,30,0,10,18,15
6/6/2019,31,Ozone,Portland,41-005-0004,AQS,3,31,0,.,16,24
6/7/2019,30,Ozone,Portland,41-005-0004,AQS,2,30,0,.,16,13
6/8/2019,33,Ozone,Portland,41-005-0004,AQS,2,33,0,7,19,9
6/9/2019,42,Ozone,Portland,41-005-0004,AQS,2,42,0,.,19,10
6/10/2019,37,Ozone,Portland,41-005-0004,AQS,2,37,0,.,18,19
6/11/2019,45,Ozone,Portland,41-009-0004,AQS,2,45,0,10,17,19
6/12/2019,90,Ozone,Portland,41-005-0004,AQS,3,90,0,.,31,30
06/13/2019,43,Ozone,Portland,41-005-0004,AQS,2,43,0,.,26,16
06/14/2019,31,Ozone,Portland,41-005-0004,AQS,1,31,0,8,16,16
06/15/2019,32,Ozone,Portland,41-005-0004,AQS,1,32,0,.,20,8
06/16/2019,35,Ozone,Portland,41-005-0004,AQS,1,35,0,.,18,7
06/17/2019,31,Ozone,Portland,41-005-0004,AQS,2,31,0,5,14,8
06/18/2019,31,Ozone,Portland,41-005-0004,AQS,3,31,0,.,16,13
06/19/2019,31,Ozone,Portland,41-005-0004,AQS,2,31,0,.,19,17
06/20/2019,26,Ozone,Portland,41-005-0004,AQS,2,26,0,11,19,19
06/21/2019,29,Ozone,Portland,41-005-0004,AQS,2,29,0,.,21,11
06/22/2019,28,Ozone,Portland,41-005-0004,AQS,2,28,0,.,18,13
06/23/2019,31,Ozone,Portland,41-005-0004,AQS,2,31,0,4,17,8
06/24/2019,36,Ozone,Portland,41-005-0004,AQS,2,36,0,.,22,20
06/25/2019,34,Ozone,Portland,41-005-0004,AQS,2,34,0,.,25,19
06/26/2019,34,Ozone,Portland,41-005-0004,AQS,2,34,0,9,19,15
06/27/2019,20,Ozone,Portland,41-005-0004,AQS,1,20,0,.,18,12
06/28/2019,34,Ozone,Portland,41-005-0004,AQS,3,34,0,.,21,12
06/29/2019,42,Ozone,Portland,41-005-0004,AQS,2,42,0,6,28,11
06/30/2019,44,Ozone,Portland,41-005-0004,AQS,2,44,0,.,26,13
7/1/2019,33,Ozone,Portland,41-005-0004,AQS,2,33,0,.,30,11
7/2/2019,27,Ozone,Portland,41-005-0004,AQS,2,27,0,8,20,13
7/3/2019,31,Ozone,Portland,41-005-0004,AQS,3,31,0,.,22,19
7/4/2019,42,Ozone,Portland,41-005-0004,AQS,2,42,0,.,37,12
7/5/2019,32,PM2.5,Portland,41-067-0005,AQS,2,31,0,7,32,11
7/6/2019,23,Ozone,Portland,41-005-0004,AQS,1,23,0,.,18,8
7/7/2019,30,Ozone,Portland,41-005-0004,AQS,1,30,.,.,23,9
7/8/2019,40,Ozone,Portland,41-005-0004,AQS,2,40,.,12,30,18
7/9/2019,36,PM2.5,Portland,41-067-0005,AQS,2,27,0,.,36,18
7/10/2019,20,PM2.5,Portland,41-009-0004,AQS,1,13,0,.,20,8
7/11/2019,31,Ozone,Portland,41-005-0004,AQS,1,31,0,6,18,15
7/12/2019,36,Ozone,Portland,41-005-0004,AQS,2,36,0,.,26,15
07/13/2019,31,Ozone,Portland,41-005-0004,AQS,1,31,0,.,18,8
07/14/2019,33,Ozone,Portland,41-005-0004,AQS,1,33,0,30,20,9
07/15/2019,23,Ozone,Portland,41-005-0004,AQS,1,23,0,.,18,12
07/16/2019,31,Ozone,Portland,53-011-0011,AQS,1,31,0,.,16,8
07/17/2019,21,Ozone,Portland,41-005-0004,AQS,1,21,0,5,15,12
07/18/2019,34,Ozone,Portland,41-005-0004,AQS,1,34,0,.,18,16
07/19/2019,33,Ozone,Portland,41-005-0004,AQS,1,33,0,.,21,14
07/20/2019,44,Ozone,Portland,41-005-0004,AQS,2,44,0,12,27,12
07/21/2019,61,Ozone,Portland,41-051-0080,AQS,2,61,0,.,28,14
07/22/2019,45,Ozone,Portland,41-005-0004,AQS,1,45,0,.,21,12
07/23/2019,25,Ozone,Portland,41-005-0004,AQS,1,25,0,7,17,11
07/24/2019,38,Ozone,Portland,41-005-0004,AQS,1,38,0,.,20,16
07/25/2019,50,Ozone,Portland,41-005-0004,AQS,2,50,0,.,23,13
07/26/2019,61,Ozone,Portland,41-005-0004,AQS,3,61,0,14,25,16
07/27/2019,31,Ozone,Portland,41-005-0004,AQS,2,31,0,.,16,8
07/28/2019,42,Ozone,Portland,41-005-0004,AQS,3,42,0,.,20,9
07/29/2019,39,Ozone,Portland,41-005-0004,AQS,3,39,0,10,23,10
07/30/2019,40,Ozone,Portland,41-005-0004,AQS,3,40,0,.,22,16
07/31/2019,45,Ozone,Portland,53-011-0011,AQS,2,45,0,.,23,15
8/1/2019,36,Ozone,Portland,41-009-0004,AQS,2,36,0,11,13,10
8/2/2019,19,Ozone,Portland,53-011-0011,AQS,1,19,0,.,17,11
8/3/2019,50,Ozone,Portland,41-005-0004,AQS,3,50,0,.,35,16
8/4/2019,67,Ozone,Portland,41-005-0004,AQS,3,67,0,13,47,17
8/5/2019,84,Ozone,Portland,41-005-0004,AQS,3,84,0,.,50,19
8/6/2019,52,PM2.5,Portland,41-051-0080,AQS,2,51,0,.,52,10
8/7/2019,48,PM2.5,Portland,41-051-0080,AQS,2,28,0,17,48,10
8/8/2019,26,Ozone,Portland,41-009-0004,AQS,2,26,0,.,23,17
8/9/2019,37,Ozone,Portland,41-005-0004,AQS,3,37,0,.,23,8
8/10/2019,43,PM2.5,Portland,41-051-0080,AQS,2,27,1,8,43,14
8/11/2019,34,Ozone,Portland,41-005-0004,AQS,2,34,0,7,23,9
8/12/2019,41,Ozone,Portland,41-005-0004,AQS,2,41,0,.,25,22
08/13/2019,49,Ozone,Portland,41-005-0004,AQS,5,49,1,15,28,15
08/14/2019,44,Ozone,Portland,41-005-0004,AQS,2,44,0,.,21,12
08/15/2019,33,Ozone,Portland,41-005-0004,AQS,2,33,0,.,21,11
08/16/2019,38,Ozone,Portland,41-005-0004,AQS,2,38,0,10,28,10
08/17/2019,28,Ozone,Portland,41-005-0004,AQS,2,28,0,.,21,10
08/18/2019,30,Ozone,Portland,41-005-0004,AQS,2,30,0,.,20,10
08/19/2019,36,Ozone,Portland,41-005-0004,AQS,2,36,0,9,19,10
08/20/2019,45,Ozone,Portland,41-005-0004,AQS,2,45,0,.,30,12
08/21/2019,35,PM2.5,Portland,41-067-0005,AQS,2,25,0,.,35,12
08/22/2019,34,Ozone,Portland,41-005-0004,AQS,1,34,0,15,30,15
08/23/2019,39,Ozone,Portland,41-005-0004,AQS,2,39,1,.,32,10
08/24/2019,37,Ozone,Portland,41-005-0004,AQS,2,37,0,.,23,9
08/25/2019,37,Ozone,Portland,41-005-0004,AQS,2,37,0,10,27,5
08/26/2019,44,Ozone,Portland,41-009-0004,AQS,3,44,0,.,43,9
08/27/2019,45,Ozone,Portland,53-011-0011,AQS,3,45,1,.,25,17
08/28/2019,101,Ozone,Portland,41-005-0004,AQS,2,101,1,19,42,28
08/29/2019,38,PM2.5,Portland,41-051-0080,AQS,1,35,0,.,38,18
08/30/2019,32,Ozone,Portland,41-005-0004,AQS,1,32,0,.,27,17
08/31/2019,36,Ozone,Portland,53-011-0011,AQS,2,36,0,14,28,11
9/1/2019,35,Ozone,Portland,53-011-0011,AQS,1,35,0,.,21,11
9/2/2019,36,Ozone,Portland,41-005-0004,AQS,2,36,0,.,28,14
9/3/2019,38,Ozone,Portland,41-005-0004,AQS,2,38,0,11,33,12
9/4/2019,33,Ozone,Portland,41-005-0004,AQS,0,33,0,.,24,19
9/5/2019,44,Ozone,Portland,41-005-0004,AQS,3,44,0,.,34,35
9/6/2019,39,Ozone,Portland,41-005-0004,AQS,3,39,0,19,28,14
9/7/2019,28,PM2.5,Portland,41-051-0080,AQS,1,19,0,.,28,13
9/8/2019,21,Ozone,Portland,41-005-0004,AQS,1,21,0,.,15,10
9/9/2019,27,Ozone,Portland,41-005-0004,AQS,0,27,0,5,18,19
9/10/2019,27,PM2.5,Portland,41-067-0005,AQS,1,25,0,.,27,19
9/11/2019,32,Ozone,Portland,41-005-0004,AQS,3,32,0,.,28,22
9/12/2019,34,PM2.5,Portland,41-051-0080,AQS,5,33,1,12,34,17
09/13/2019,31,Ozone,Portland,41-005-0004,AQS,0,31,0,.,19,14
09/14/2019,33,Ozone,Portland,41-005-0004,AQS,0,33,0,.,19,14
09/15/2019,30,Ozone,Portland,41-005-0004,AQS,0,30,0,5,18,11
09/16/2019,27,Ozone,Portland,41-005-0004,AQS,0,27,0,.,19,17
09/17/2019,25,Ozone,Portland,41-005-0004,AQS,0,25,0,.,18,9
09/18/2019,27,Ozone,Portland,41-005-0004,AQS,3,27,0,7,17,9
09/19/2019,29,PM2.5,Portland,41-067-0005,AQS,5,25,0,.,29,18
09/20/2019,26,PM2.5,Portland,41-067-0005,AQS,2,19,0,.,26,12
09/21/2019,36,PM2.5,Portland,41-051-0080,AQS,5,27,0,11,36,11
09/22/2019,40,PM2.5,Portland,41-051-0080,AQS,6,19,0,.,40,12
09/23/2019,33,Ozone,Portland,41-005-0004,AQS,2,33,0,.,25,13
09/24/2019,29,Ozone,Portland,41-005-0004,AQS,2,29,0,13,27,16
09/25/2019,47,PM2.5,Portland,53-011-0022,AQS,5,31,0,.,47,21
09/26/2019,38,PM2.5,Portland,41-067-0005,AQS,5,21,0,.,38,16
09/27/2019,31,Ozone,Portland,41-005-0004,AQS,3,31,0,9,30,18
09/28/2019,34,PM2.5,Portland,53-011-0024,AQS,3,31,0,.,34,16
09/29/2019,20,Ozone,Portland,53-011-0011,AQS,3,20,0,.,17,10
09/30/2019,24,PM2.5,Portland,53-011-0022,AQS,2,22,0,6,24,14
10/1/2019,29,PM2.5,Portland,53-011-0022,AirNow,5,27,0,7,29,23
10/2/2019,38,PM2.5,Portland,41-067-0005,AQS,6,23,0,.,38,16
10/3/2019,23,PM2.5,Portland,41-067-0004,AQS,2,23,0,6,23,15
10/4/2019,27,PM2.5,Portland,41-067-0004,AQS,2,23,0,.,27,14
10/5/2019,45,PM2.5,Portland,41-051-0080,AQS,6,24,0,.,45,21
10/6/2019,47,PM2.5,Portland,53-011-0024,AQS,7,21,0,13,47,14
10/7/2019,41,PM2.5,Portland,41-067-0005,AQS,7,26,1,.,41,14
10/8/2019,26,Ozone,Portland,41-051-0080,AQS,3,26,0,.,20,23
10/9/2019,36,PM2.5,Portland,41-067-0005,AQS,6,20,1,9,36,19
10/10/2019,36,PM2.5,Portland,53-011-0022,AirNow,5,30,0,.,36,18
10/11/2019,33,PM2.5,Portland,53-011-0024,AQS,1,31,0,.,33,25
10/12/2019,56,PM2.5,Portland,53-011-0024,AQS,2,30,0,21,56,20
10/13/2019,66,PM2.5,Portland,53-011-0022,AirNow,2,25,0,.,66,21
10/14/2019,71,PM2.5,Portland,53-011-0022,AirNow,7,24,1,.,71,26
10/15/2019,66,PM2.5,Portland,53-011-0022,AirNow,9,19,1,22,66,21
10/16/2019,50,PM2.5,Portland,41-067-0005,AQS,6,22,0,.,50,23
10/17/2019,27,PM2.5,Portland,41-067-0005,AQS,1,26,0,.,27,16
10/18/2019,33,PM2.5,Portland,41-067-0005,AQS,1,25,0,12,33,20
10/19/2019,29,Ozone,Portland,41-051-0080,AQS,1,29,0,.,19,18
10/20/2019,23,PM2.5,Portland,53-011-0022,AirNow,2,23,0,.,23,13
10/21/2019,23,PM2.5,Portland,41-067-0004,AQS,1,23,0,8,23,18
10/22/2019,27,PM2.5,Portland,41-067-0005,AQS,2,21,0,.,27,19
