,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
0,2020-01-01,29,Ozone,Portland,41-051-0080,AirNow,,29,,,16,,45.5051,-122.675,Portland,2020-03-23
1,2020-01-02,28,Ozone,Portland,41-051-0080,AirNow,,28,,,20,,45.5051,-122.675,Portland,2020-03-23
2,2020-01-03,35,Ozone,Portland,41-051-0080,AirNow,,35,,,20,,45.5051,-122.675,Portland,2020-03-23
3,2020-01-04,34,Ozone,Portland,41-051-0080,AirNow,,34,,,20,,45.5051,-122.675,Portland,2020-03-23
4,2020-01-05,31,Ozone,Portland,41-051-0080,AirNow,,31,,,15,,45.5051,-122.675,Portland,2020-03-23
5,2020-01-06,31,Ozone,Portland,41-051-0080,AirNow,,31,,,13,,45.5051,-122.675,Portland,2020-03-23
6,2020-01-07,32,Ozone,Portland,41-051-0080,AirNow,,32,,,13,,45.5051,-122.675,Portland,2020-03-23
7,2020-01-08,24,Ozone,Portland,41-051-0080,AirNow,,24,,,19,,45.5051,-122.675,Portland,2020-03-23
8,2020-01-09,36,PM2.5,Portland,41-067-0004,AirNow,,14,,,36,,45.5051,-122.675,Portland,2020-03-23
9,2020-01-10,34,Ozone,Portland,41-051-0080,AirNow,,34,,,16,,45.5051,-122.675,Portland,2020-03-23
10,2020-01-11,31,Ozone,Portland,41-051-0080,AirNow,,31,,,16,,45.5051,-122.675,Portland,2020-03-23
11,2020-01-12,33,Ozone,Portland,41-051-0080,AirNow,,33,,,13,,45.5051,-122.675,Portland,2020-03-23
12,2020-01-13,30,Ozone,Portland,41-051-0080,AirNow,,30,,,27,,45.5051,-122.675,Portland,2020-03-23
13,2020-01-14,28,Ozone,Portland,41-051-0080,AirNow,,28,,,26,,45.5051,-122.675,Portland,2020-03-23
14,2020-01-15,33,Ozone,Portland,41-051-0080,AirNow,,33,,,18,,45.5051,-122.675,Portland,2020-03-23
15,2020-01-16,43,PM2.5,Portland,41-051-0080,AirNow,,23,,,43,,45.5051,-122.675,Portland,2020-03-23
16,2020-01-17,33,PM2.5,Portland,41-067-0005,AirNow,,24,,,33,,45.5051,-122.675,Portland,2020-03-23
17,2020-01-18,25,PM2.5,Portland,41-067-0005,AirNow,,24,,,25,,45.5051,-122.675,Portland,2020-03-23
18,2020-01-19,30,PM2.5,Portland,41-051-0080,AirNow,,25,,,30,,45.5051,-122.675,Portland,2020-03-23
19,2020-01-20,61,PM2.5,Portland,53-011-0024,AirNow,,22,,,61,,45.5051,-122.675,Portland,2020-03-23
20,2020-01-21,34,Ozone,Portland,41-051-0080,AirNow,,34,,,28,,45.5051,-122.675,Portland,2020-03-23
21,2020-01-22,28,Ozone,Portland,41-051-0080,AirNow,,28,,,12,,45.5051,-122.675,Portland,2020-03-23
22,2020-01-23,28,Ozone,Portland,41-051-0080,AirNow,,28,,,15,,45.5051,-122.675,Portland,2020-03-23
23,2020-01-24,30,Ozone,Portland,41-051-0080,AirNow,,30,,,23,,45.5051,-122.675,Portland,2020-03-23
24,2020-01-25,27,PM2.5,Portland,41-067-0004,AirNow,,25,,,27,,45.5051,-122.675,Portland,2020-03-23
25,2020-01-26,32,Ozone,Portland,41-051-0080,AirNow,,32,,,17,,45.5051,-122.675,Portland,2020-03-23
26,2020-01-27,33,Ozone,Portland,41-051-0080,AirNow,,33,,,23,,45.5051,-122.675,Portland,2020-03-23
27,2020-01-28,33,Ozone,Portland,41-051-0080,AirNow,,33,,,13,,45.5051,-122.675,Portland,2020-03-23
28,2020-01-29,21,PM2.5,Portland,41-067-0004,AirNow,,21,,,21,,45.5051,-122.675,Portland,2020-03-23
29,2020-01-30,25,PM2.5,Portland,41-067-0005,AirNow,,23,,,25,,45.5051,-122.675,Portland,2020-03-23
30,2020-01-31,30,Ozone,Portland,41-051-0080,AirNow,,30,,,11,,45.5051,-122.675,Portland,2020-03-23
31,2020-02-01,30,Ozone,Portland,41-051-0080,AirNow,,30,,,13,,45.5051,-122.675,Portland,2020-03-23
32,2020-02-02,52,PM2.5,Portland,41-051-0080,AirNow,,27,,,52,,45.5051,-122.675,Portland,2020-03-23
33,2020-02-03,54,PM2.5,Portland,53-011-0024,AirNow,,19,,,54,,45.5051,-122.675,Portland,2020-03-23
34,2020-02-04,54,PM2.5,Portland,53-011-0024,AirNow,,29,,,54,,45.5051,-122.675,Portland,2020-03-23
35,2020-02-05,35,PM2.5,Portland,41-067-0004,AirNow,,27,,,35,,45.5051,-122.675,Portland,2020-03-23
36,2020-02-06,31,Ozone,Portland,41-051-0080,AirNow,,31,,,11,,45.5051,-122.675,Portland,2020-03-23
37,2020-02-07,34,Ozone,Portland,41-051-0080,AirNow,,34,,,12,,45.5051,-122.675,Portland,2020-03-23
38,2020-02-08,31,Ozone,Portland,41-051-0080,AirNow,,31,,,30,,45.5051,-122.675,Portland,2020-03-23
39,2020-02-09,51,PM2.5,Portland,41-051-0080,AirNow,,18,,,51,,45.5051,-122.675,Portland,2020-03-23
40,2020-02-10,51,PM2.5,Portland,41-067-0005,AirNow,,17,,,51,,45.5051,-122.675,Portland,2020-03-23
41,2020-02-11,64,PM2.5,Portland,41-067-0004,AirNow,,5,,,64,,45.5051,-122.675,Portland,2020-03-23
42,2020-02-12,61,PM2.5,Portland,41-051-0080,AirNow,,17,,,61,,45.5051,-122.675,Portland,2020-03-23
43,2020-02-13,53,PM2.5,Portland,41-051-0080,AirNow,,22,,,53,,45.5051,-122.675,Portland,2020-03-23
44,2020-02-14,27,Ozone,Portland,41-051-0080,AirNow,,27,,,25,,45.5051,-122.675,Portland,2020-03-23
45,2020-02-15,30,Ozone,Portland,41-051-0080,AirNow,,30,,,15,,45.5051,-122.675,Portland,2020-03-23
46,2020-02-16,31,Ozone,Portland,41-051-0080,AirNow,,31,,,25,,45.5051,-122.675,Portland,2020-03-23
